Structure,Y
CC1(C)CCn2c(O1)nc3c(nc(nc23)c4cnc(N)nc4)N5CCOCC5,0.00509
Cl.CN(N=Cc1cnc2ccc(F)cn12)S(=O)(=O)c3cc(ccc3C)[N+](=O)[O-],0.0053
CC(=O)Nc1nc2ccc(cc2s1)c3cncc(NS(=O)(=O)c4ccc(F)cc4)c3,0.0053
COc1ncc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@@H](CC4)OCCO)C2=O,0.00531
Cc1nc(N)nc2N(CC3CCCO3)C(=O)C(=Cc12)c4cnc5[nH]ccc5c4,0.0054
CC(=O)Nc1nc2ccc(cc2s1)c3cnc(C)c(NS(=O)(=O)c4ccccc4F)c3,0.0055
CCN(CC)c1ncc2CCc3nc(NC(=O)N4C[C@H](F)C[C@H]4C(=O)N)sc3c2n1,0.0055
CCN(CC)c1ncc2CCc3nc(NC(=O)N4CC[C@@H]5C[C@]45C(=O)N)sc3c2n1,0.0055
CC(C)(C)c1ncc2CCc3nc(NC(=O)N4CC[C@H]4C(=O)N)sc3c2n1,0.0055
C[C@@H]1CCN([C@@H]1C(=O)N)C(=O)Nc2nc3COc4cnc(cc4c3s2)C(C)(C)C,0.0055
CCN(CC)c1ncc2CCc3nc(NC(=O)N4CCC[C@@]4(COC)C(=O)N)sc3c2n1,0.0055
CCN(CC)c1ncc2CCc3nc(NC(=O)N4CC[C@H](C)[C@H]4C(=O)N)sc3c2n1,0.0055
CC(=O)Nc1nc2ccc(cc2s1)c3cncc(NS(=O)(=O)c4ccc(Cl)c(Cl)c4)c3,0.0056
CC(=O)Nc1nc2ccc(cc2s1)c3cncc(NS(=O)(=O)c4ccccc4)c3,0.0056
CC(=O)Nc1cn2nc(ccc2n1)c3cnc(Cl)c(NS(=O)(=O)C)c3,0.0057
Nc1ncc(cn1)c2nc(N3CCOCC3)c4OCC5COCCN5c4n2,0.00572
COc1ccc(cn1)C2=Cc3c(C)nc(N)nc3N([C@@H]4CC[C@H](CC4)OCC(=O)N)C2=O,0.00579
